instrument,datetime,field,value
ETH-USD,2017-11-14,$ma30,
ETH-USD,2017-11-14,$ma60,
ETH-USD,2017-11-14,$ma120,
ETH-USD,2017-11-14,$ema5,321.5808383015449
ETH-USD,2017-11-14,$ema10,319.34937880130116
ETH-USD,2017-11-14,$ema20,319.2901803997106
ETH-USD,2017-11-14,$ema60,320.09820864420055
ETH-USD,2017-11-14,$ema12,319.2045020983464
ETH-USD,2017-11-14,$ema26,319.4721010266994
ETH-USD,2017-11-14,$macd,-0.26759892835303845
ETH-USD,2017-11-14,$macd_signal,-1.0389396339301626
ETH-USD,2017-11-14,$macd_hist,0.7713407055771242
ETH-USD,2017-11-14,$vwap,315.31849787126356
ETH-USD,2017-11-15,$open,337.9639892578125
ETH-USD,2017-11-15,$high,340.9119873046875
ETH-USD,2017-11-15,$low,329.81298828125
ETH-USD,2017-11-15,$close,333.35699462890625
ETH-USD,2017-11-15,$volume,722665984.0
ETH-USD,2017-11-15,$ma5,
ETH-USD,2017-11-15,$ma10,
ETH-USD,2017-11-15,$ma20,
ETH-USD,2017-11-15,$ma30,
ETH-USD,2017-11-15,$ma60,
ETH-USD,2017-11-15,$ma120,
ETH-USD,2017-11-15,$ema5,325.5062237439987
ETH-USD,2017-11-15,$ema10,321.89621804268387
ETH-USD,2017-11-15,$ema20,320.62987699296735
ETH-USD,2017-11-15,$ema60,320.53292293878104
ETH-USD,2017-11-15,$ema12,321.38180864150945
ETH-USD,2017-11-15,$ema26,320.5006116638999
ETH-USD,2017-11-15,$macd,0.8811969776095339
ETH-USD,2017-11-15,$macd_signal,-0.6549123116222234
ETH-USD,2017-11-15,$macd_hist,1.5361092892317574
ETH-USD,2017-11-15,$vwap,317.2991893822089
ETH-USD,2017-11-16,$open,333.4429931640625
ETH-USD,2017-11-16,$high,336.15899658203125
ETH-USD,2017-11-16,$low,323.6059875488281
ETH-USD,2017-11-16,$close,330.92401123046875
ETH-USD,2017-11-16,$volume,797254016.0
ETH-USD,2017-11-16,$ma5,
ETH-USD,2017-11-16,$ma10,
ETH-USD,2017-11-16,$ma20,
ETH-USD,2017-11-16,$ma30,
ETH-USD,2017-11-16,$ma60,
ETH-USD,2017-11-16,$ma120,
ETH-USD,2017-11-16,$ema5,327.3121529061554
ETH-USD,2017-11-16,$ema10,323.53763498591746
ETH-USD,2017-11-16,$ema20,321.61027072987224
ETH-USD,2017-11-16,$ema60,320.87361435818065
ETH-USD,2017-11-16,$ema12,322.84983980904167
ETH-USD,2017-11-16,$ema26,321.2727153354976
ETH-USD,2017-11-16,$macd,1.5771244735440746
ETH-USD,2017-11-16,$macd_signal,-0.2085049545889638
ETH-USD,2017-11-16,$macd_hist,1.7856294281330385
ETH-USD,2017-11-16,$vwap,318.6096660484541
ETH-USD,2017-11-17,$open,330.1669921875
ETH-USD,2017-11-17,$high,334.9639892578125
ETH-USD,2017-11-17,$low,327.52301025390625
ETH-USD,2017-11-17,$close,332.3940124511719
ETH-USD,2017-11-17,$volume,621732992.0
ETH-USD,2017-11-17,$ma5,
ETH-USD,2017-11-17,$ma10,
ETH-USD,2017-11-17,$ma20,
ETH-USD,2017-11-17,$ma30,
ETH-USD,2017-11-17,$ma60,
ETH-USD,2017-11-17,$ma120,
ETH-USD,2017-11-17,$ema5,329.00610608782756
ETH-USD,2017-11-17,$ema10,325.1478854341455
ETH-USD,2017-11-17,$ema20,322.6372937509484
ETH-USD,2017-11-17,$ema60,321.25133232844263
ETH-USD,2017-11-17,$ema12,324.3181740616771
ETH-USD,2017-11-17,$ema26,322.0965151218438
ETH-USD,2017-11-17,$macd,2.221658939833276
ETH-USD,2017-11-17,$macd_signal,0.2775278242954841
ETH-USD,2017-11-17,$macd_hist,1.9441311155377916
ETH-USD,2017-11-17,$vwap,319.5631391579377
ETH-USD,2017-11-18,$open,331.9800109863281
ETH-USD,2017-11-18,$high,349.6159973144531
ETH-USD,2017-11-18,$low,327.68701171875
ETH-USD,2017-11-18,$close,347.61199951171875
ETH-USD,2017-11-18,$volume,649638976.0
ETH-USD,2017-11-18,$ma5,
ETH-USD,2017-11-18,$ma10,
ETH-USD,2017-11-18,$ma20,
